scenario,case,dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
C22_PTI,C,income,low,522,-7.201320446433827,-4.833289515361145,-15.030083322760195,0.12670403290554924,0.1206896551724138,0.8793103448275862,0.20689655172413796
C22_PTI,C,income,middle,387,-4.262374994670044,-3.6786539059305876,-10.432274439127523,0.18533477890514485,0.11886304909560726,0.8811369509043928,0.2454780361757106
C22_PTI,C,age,25-44,398,-5.2310918376157725,-4.323420872625647,-12.120964772777972,0.03151178358122147,0.10050251256281408,0.8994974874371859,0.25879396984924624
C22_PTI,C,age,45-64,409,-6.199352854528597,-3.639152172486149,-11.33746225000558,0.2294650809002803,0.13202933985330073,0.8679706601466992,0.2469437652811736
C22_PTI,C,age,65+,169,-4.425222801609054,-2.931204524216412,-11.780186375006966,0.17607310794924008,0.14201183431952666,0.8579881656804734,0.2248520710059172
C22_PTI,C,age,<25,214,-4.772761921356149,-3.380591361258027,-11.397701753014815,-0.032342343873710225,0.09813084112149532,0.9018691588785048,0.21962616822429906
C22_PTI,C,gender,f,656,-5.005482189951408,-3.8205097275501467,-11.857872061005262,0.05390579688580743,0.10670731707317073,0.8932926829268293,0.25
C22_PTI,C,gender,m,534,-5.8111371852196525,-3.5930488580630358,-11.703243460591727,0.265422180153439,0.12921348314606745,0.8707865168539326,0.2340823970037453
C22_PTI,C,car_availability,always,1087,-5.470349195846461,-3.793944101862536,-11.836131415309096,0.12352537497837646,0.11683532658693653,0.8831646734130635,0.2419503219871205
C22_PTI,C,car_availability,never,103,-4.276446578935176,-2.8828642186243343,-11.32200399122626,0.05515332860741168,0.11650485436893206,0.883495145631068,0.2524271844660194
C22_PTI,C,employment,false,312,-6.6142658614797,-3.29918259891538,-12.842024988684992,0.044797467230007465,0.1153846153846154,0.8846153846153846,0.2307692307692308
C22_PTI,C,employment,true,878,-4.923795700152339,-3.867054663535314,-11.505366601035604,0.2027003268385695,0.11731207289293848,0.8826879271070615,0.2471526195899772
